Title,Specialization,Salary,Age,Sex
Front-End React.js Developer,"Программист, разработчик",400000,20,Мужчина
"FullStack (Java, JS)","Программист, разработчик",3000,30,Мужчина
Frontend-разработчик(React),"Программист, разработчик",50000,30,Мужчина
JavaScript разработчик,"Программист, разработчик",350000,22,Мужчина
Backend Developer,"Программист, разработчик",2500,23,Мужчина
"Фронтенд react, javascript разработчик",Другое,50000,28,Мужчина
"PHP, JavaScript developer","Программист, разработчик",300000,22,Женщина
"Frontend Developer (JS, React, Vue, TS)","Программист, разработчик",500000,21,Мужчина
Frontend Developer,"Программист, разработчик",140000,28,Мужчина
Laravel + Vue.js Developer (Middle/Senior),"Программист, разработчик",1000000,33,Мужчина
Frontend-разработчик,"Программист, разработчик",2500,30,Мужчина
"Full Stack, NODE JS, разработчик, ArchiMate архитектор","Программист, разработчик",2764000,33,Мужчина
Motion designer,"Видеооператор, видеомонтажер",550,27,Мужчина
Инженер-программист (fullstack (php/js/ts) middle+ developer),"Программист, разработчик",120000,33,Мужчина
Начинающий специалист,Другое,50000,22,Мужчина
Web-разработчик,"Программист, разработчик",80000,30,Мужчина
"Back-end, javascript,  Nodejs, typescript, web","Программист, разработчик",2000,31,Мужчина
PHP-разработчик,"Программист, разработчик",2100,27,Мужчина
HTML-верстальщик,"Программист, разработчик",40000,55,Мужчина
Front-end developer,"Программист, разработчик",3000,23,Мужчина
Front-End React.js Developer,"Программист, разработчик",400000,20,Мужчина
"FullStack (Java, JS)","Программист, разработчик",3000,30,Мужчина
Frontend-разработчик(React),"Программист, разработчик",50000,30,Мужчина
JavaScript разработчик,"Программист, разработчик",350000,22,Мужчина
Backend Developer,"Программист, разработчик",2500,23,Мужчина
"Фронтенд react, javascript разработчик",Другое,50000,28,Мужчина
"PHP, JavaScript developer","Программист, разработчик",300000,22,Женщина
"Frontend Developer (JS, React, Vue, TS)","Программист, разработчик",500000,21,Мужчина
Frontend Developer,"Программист, разработчик",140000,28,Мужчина
Laravel + Vue.js Developer (Middle/Senior),"Программист, разработчик",1000000,33,Мужчина
Frontend-разработчик,"Программист, разработчик",2500,30,Мужчина
"Full Stack, NODE JS, разработчик, ArchiMate архитектор","Программист, разработчик",2764000,33,Мужчина
Motion designer,"Видеооператор, видеомонтажер",550,27,Мужчина
Инженер-программист (fullstack (php/js/ts) middle+ developer),"Программист, разработчик",120000,33,Мужчина
Начинающий специалист,Другое,50000,22,Мужчина
Web-разработчик,"Программист, разработчик",80000,30,Мужчина
"Back-end, javascript,  Nodejs, typescript, web","Программист, разработчик",2000,31,Мужчина
PHP-разработчик,"Программист, разработчик",2100,27,Мужчина
HTML-верстальщик,"Программист, разработчик",40000,55,Мужчина
Front-end developer,"Программист, разработчик",3000,23,Мужчина
